"Apply Percent Discounts To FPT","Prozentuale Rabatte auf FPT"
"Apply Tax To FPT","Steuern auf FPT anwenden"
"Apply Discounts To FTP","Rabatte auf FPT anwenden"
"Display Prices In Emails","Preise in E-Mails anzeigen"
"Display Prices In Product Lists","Preise in Produktlisten anzeigen"
"Display Prices In Sales Modules","Preise in Verkaufsmodulen anzeigen"
"Display Prices On Product View Page","Preise auf Produktinfoseiten anzeigen"
"Enable FPT","FPT aktivieren"
"Excluding FPT","zzgl. FPT"
"Excluding FPT, FPT description, final price","zzgl. FPT, FPT Beschreibung, Endpreis"
"Fixed Product Tax","Feste Produktsteuer (FPT)"
"Fixed Product Taxes","Feste Produktsteuern"
"Include FPT In Subtotal","FPT in Zwischensumme hineinrechnen"
"Including FPT and FPT description [excl. FPT VAT]","inkl. FPT und FPT Beschreibung [zzgl. FPT Umsatzsteuer]"
"Including FPT and FPT description [incl. FPT VAT]","inkl. FPT und FPT Beschreibung [inkl. FPT Umsatzsteuer]"
"Including FPT only","nur Inkl. FPT"
"Total","Gesamt"
"Total incl. tax","Gesamt inkl. Steuern"
"Qty for Item's Status to become Out of Stock","Anzahl um Artikel mit <b>Nicht auf Lager</b> zu kennzeichnen"
"Descriptions","Artikelbeschreibung"
"Display Settings","Anzeige Einstellungen"
"Position","Reihenfolge"
"Customer's Current Activities","Aktuelle Benutzer-Aktivitäten"
"Update Items and Qty's","Artikel und Mengen aktualisieren"
"Delivery time","Lieferzeit"
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klicken Sie hier für <a href=""%s"">Index Verwaltung</a> und bauen Sie benötigte Indizes neu auf."
"One or more of the Indexes are not up to date:","Ein Index bzw. mehrere Indizes sind nicht aktuell:"
"Index Management","Index-Verwaltung"
"Mode","Modus"
"index mode","Index-Modus"
"Last Run","Letzte Aktualisierung"
"Update on Save","Update beim speichern"
"Ready","Fertig/Aktuell"
"Reindex Required","Neuaufbau nötig"
"Reindex Data","Neuaufbau"
"Refresh Recent","Aktualisieren"
"Change Index Mode","Index-Modus wechseln"
"Manual Update","Manuelles Update"
"Layout building instructions. ","Layout Dateien, Updates und CMS Seiten + Blöcke. "
"Postal Code is Optional for the following countries","Postleitzahl ist optional für die folgenden Länder"
"System(config.xml, local.xml) and modules configuration files(config.xml).","System (config.xml, local.xml) und Modul Konfigurationsdateien (config.xml). "
"Layout building instructions.","Layout Aufbau-Anweisungen/Kommandos."
"Layout building instructions. ","Layout Dateien, Updates und CMS Seiten + Blöcke. "
"Blocks HTML output","Block HTML Ausgabe"
"Page blocks HTML.","Seiten Block HTML."
"Translation files.","Übersetzungsdateien (.csv)"
"Collections Data","Sammlungsdaten"
"Collection data files.","Dateien für Sammlungsdaten."
"EAV types and attributes","EAV Typen und Attribute"
"Entity types declaration cache.","Deklarations-Cache für Entitäts Typen."
"Web Services Configuration","Konfiguration der Web Dienste"
"Web Services definition files (api.xml).","Definitionsdateien für Web Dienste (api.xml)."
"Total of %d index(es) have reindexed data.","%d x Indizes neu aufgebaut."
"Show / Hide Editor","Editor anzeigen/ausblenden"
"Show notice if JavaScript is disabled","Hinweis anzeigen wenn JavaScript im Browser<br />deaktiviert ist"
"Example format: 200x300.","Beispiel Format 200x300."
"Allowed file types: jpeg, gif, png.","Erlaubte Formate: jpeg, gif, png."
"Display out of stock products","Produkte die <u>nicht</u> auf Lager<br />sind auch mit anzeigen"
"<b>Please note</b>, that these Settings are applicable to cart line Items, not the whole Cart.","<b>Please note</b>, that these Settings are applicable to cart line Items, not the whole Cart."
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Log Aufzeichnung via ""Mage::logException()"". Datei wird unter {{base_dir}}/var/log abgespeichert"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Log Aufzeichnung via ""Mage::log()"". Datei wird unter {{base_dir}}/var/log abgespeichert"
"Merge JavaScript Files (beta)","JavaScript Dateien verbinden (beta)"
"Merge CSS Files (beta)","CSS Dateien verbinden (beta)"
"Experimental. Turn this feature off if there are troubles with relative urls inside css-files.","Experimentell. Bitte schalten Sie diese Funktionalität ab wenn es zu Problemen mit relativen URLs in den CSS-Dateien kommt."
"For Windows Server Only","Nur für Windows Server"
"Create Extension Package","Erweiterung erstellen"
"New Extension","Neue Erweiterung"
"Save data and Create Package","Daten speichern und Paket erzeugen"
"Save As...","Speichern unter…"
"Package Info","Paketinfo"
"Release Info","Versionsinformation"
"Maintainers","Verantwortliche Autoren"
"Dependencies","Abhängigkeiten"
"Load local Package","Lokales Paket laden"
"Folder","Verzeichnis/Pfad"
"Role","Gruppenberechtigung"
"Recommended","Empfohlen"
"Exclude","Ausgenommen"
"Exclude (comma separated)","Ausschließen (Komma getrennt)"
"Subpackages","Unterpakete"
"Subpackage","Unterpaket"
"API Stability","API Stabilität"
"Notes","Hinweise"
"Add Subpackage dependency","Unterpaket-Abhängigkeit hinzufügen"
"Add Maintainer","Autor hinzufügen"
"1.5.0.0 & later","1.5.0.0 und neuer"
"Pre-1.5.0.0","älter als 1.5.0.0"
"Supported releases","Unterstützte Versionen"
"Load Local Package","Lokales Paket laden"
"Save Data and Create Package","Daten speichern und Paket erzeugen"
"Update Qty's","Mengen aktualisieren"
"Items to Invoice","Artikel zur Rechnung"
"Summary","Kurzbeschreibung"
"License","Lizenz"
"Licence URI","Lizenz URL"
"and above","und darüber"
"Display Out of Stock Products","Produkte die nicht auf Lager sind anzeigen"
"Allow HTML Tags on Frontend","HTML Tags im Frontend erlauben"
"%s codes deleted","%s x Code gelöscht"
"%s codes imported","%s x Codes importiert"
"%s codes not imported","%s x Codes nicht importiert"
"%s product in feed.","%s product in feed."
"%s product not in feed.","%s product not in feed."
"Add new","Anlegen"
"Attrib. Set Name","Attrib. Set Name"
"Attributes map","Attributes map"
"Cron Frequency","Cron Frequency"
"Cron Hour","Cron Hour"
"Delete","Löschen"
"Eav code","Eav Code"
"FTP Password","FTP Passwort"
"FTP Path","FTP Pfad"
"FTP Server","FTP Server"
"FTP Settings","FTP Einstellungen"
"FTP User","FTP User"
"FTP: Can't delete files","FTP: Dateien konnten nicht gelöscht werden"
"Feed","Feed"
"Feed code","Feed Code"
"ID","ID"
"Import","Import"
"Import attribute map","Import Attribut Karte"
"Import code","Import Code"
"In feed","In feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started."
"Is imported","Is imported"
"Item params","Artiekleigenschaften"
"Manage attributes","Attribute verwalten"
"Manage items","Artikel verwalten"
"Not import","Nicht importiert"
"Not publish","Nicht veröffentlicht"
"Price","Preis"
"Product Name","Artikelname"
"Product import","Artikelimport"
"Publish","Veröffentlichen"
"SKU","Artikelnummer"
"Settings","Einstellungen"
"The Find","The Find"
"TheFind Feed Filename","TheFind Feed Dateiname"
"TheFind feed","TheFind feed"
"Type","Art"
"Unable to process an import. ","Import nicht möglich. "
"Update TheFind Item when Product is Updated","TheFind Artikel aktualisieren wenn der Artikel aktualisiert wird"
"Insert Variable","Variable einfügen"
"Insert Widget","Widget einfügen"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.",
"Nachdem die Synchronisierung abgeschlossen ist, werden alle Medien automatisch dem neuen Speicher hinzugefügt."
"Prices","Preise"
"Allow Gift Message","Geschenknachricht erlauben"
"Recurring Profile","Wiederkehrendes Profil"
"Template Settings","Vorlagen Einstellungen"
"Allow Symlinks","Symlinks (Verknüpfungen) erlauben"
