"Action","Aktion"
"Backup file ""%s"" can\'t read or write","Sicherungsdatei ""%s"" kann nicht gelesen oder geschrieben werden"
"Backup file ""%s"" doesn\'t exist","Sicherungsdatei ""%s"" existiert nicht"
"Backup file doesn't exist","Sicherungsdatei existiert nicht"
"Backup file handler don\'t specify","Sicherungsdatei-Handler nicht spezifiziert"
"Backup file path don\'t specify","Sicherungsdatei-Pfad wurde nicht angegeben"
"Backups","Sicherungen"
"Cannot read backup file","Sicherungsdatei konnte nicht gelesen werden"
"Create Backup","Sicherung erstellen"
"DB","DB"
"Database was successfuly backed up.","Datenbank wurde erfolgreich gesichert."
"Download","Herunterladen"
"Error write to Backup file ""%s""","Fehler beim Schreiben der Sicherungsdatei ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Die Datei ist mit Zlib komprimiert. Diese Dateierweiterung ist jedoch auf dem Server nicht installiert"
"Size, byte","Größe in Byte"
"Time","Zeit"
"Type","Typ"
"Unable to create backup. Please, try again later.","Fehler beim Erstellen der Sicherung. Bitte versuchen Sie es später nocheinmal."
"Wrong order of creation for new backup","Falsche Erstellungsreihenfolge für neues Backup"
