"Action","Aktion"
"All types","Alle Typen"
"Backups Control","Backups Control"
"Backups Control","Backups Control"
"DB","DB"
"File compressed with Zlib, but this extension is not installed on server","Die Datei ist mit Zlib komprimiert. Diese Dateierweiterung ist jedoch auf dem Server nicht installiert"
"Wrong order of creation for new backup","Falsche Erstellungsreihenfolge für neues Backup"
"Download","Herunterladen"
"Create Backup","Sicherung erstellen"
"Backups","Sicherungen"
"Backup file doesn't exist","Sicherungsdatei existiert nicht"
"Cannot read backup file","Sicherungsdatei konnte nicht gelesen werden"
"Type","Typ"
"Time","Zeit"
