"An error occurred while clearing the external full page cache.","Fehler beim Löschen des externen FullPage Caches."
"Cookie Lifetime (seconds)","Cookie-Gültigkeit in Sekunden"
"Enable External Cache","Externen Cache aktivieren"
"External Cache Control","Externe Cache Kontrolle"
"External Full Page Cache Settings","Einstellungen - Externer Full Page Cache"
"External Page Cache","Externer Full Page Cache"
"External full page cache.","Externer Full Page Cache."
"Failed to load external cache control","Fehler beim Laden der externen Cache Ressource"
"Flush External Page Cache","Externen Full Page Cache leeren"
"If empty, default value will be used.","Falls leer, wird Standardwert genutzt."
"The external full page cache has been cleaned.","Der externe Full Page Cache wurde geleert."
"Zend Full Page Cache","Zend Full Page Cache"
