"Attempt to add an invalid object","Versuch ein ungültiges Objekt anzulegen"
"Attribute '%s' used in configurable products.","Attribut '%s' wird in konfigurierbaren Produkten verwendet."
"Attribute set with the ""%s"" name already exists","Attribut mit dem Namen ""%s"" existiert bereits"
"Attribute used in configurable products.","Attribut wird in konfigurierbaren Produkten verwendet."
"Attribute with the same code","Attribut mit dem gleichen Code"
"Data integrity: No header row found for attribute","Datenintegrität: Keine Kopfzeile für Attribut gefunden"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Standard Produkt-Listing Sortierung wenn keine verfügbaren Sortierungen für Produkte definiert sind"
"Default option value is not defined","Standard Optionswert ist nicht definiert"
"EAV types and attributes","EAV Typen und Attribute"
"Entity collection expected","Datensatz Zusammenstellung erwartet"
"Entity collections expected","Datensatz Zusammenstellungen erwartet"
"Entity is not initialized","Datensatz ist nicht initialisiert"
"Failed to load node %s from config.","Knoten %s konnte nicht aus der Konfiguration geladen werden."
"Frontend label is not defined","Oberflächenbezeichner ist nicht definiert"
"Invalid alias, already exists in joined attributes","Ungültiger Alias, besteht bereits in zusammengeführten Attributen"
"Invalid attribute name: %s","Ungültiger Attributname: %s"
"Invalid attribute requested: %s","Ungültiges Attribut angefragt: %s"
"Invalid attribute type","Ungültiger Attributtyp"
"Invalid character encountered in increment ID: %s","Ungültiges Zeichen in hochgezählter ID gefunden: %s"
"Invalid data object key","Ungültiger Datenobjektschlüssel"
"Invalid entity specified","Ungültiger Datensatz angegeben"
"Invalid entity supplied","Ungültigen Datensatz angegeben"
"Invalid entity supplied: %s","Ungültigen Datensatz angegeben: %s"
"Invalid entity type","Ungültiger Datensatztyp"
"Invalid entity_id, skipping the record","Ungültige Datensatz ID, überspringe den Eintrag"
"Invalid entity_type specified: %s","Ungültiger Datensatztyp angegeben: %s"
"Invalid foreign key","Ungültiger Fremdschlüssel"
"Invalid joined fields","Ungültige zusammengeführte Felder"
"Invalid store specified","Ungültiger Store angegeben"
"Joined field or attribute expression with this alias is already declared","Zusammengeführtes Feld oder Attributausdruck mit diesem Alias ist bereits deklariert"
"Joined field with this alias (%s) is already declared","Zusammengeführtes Feld mit diesem Alias (%s) ist bereits deklariert"
"Joined field with this alias is already declared","Zusammengeführtes Feld mit diesem Alias ist bereits definiert"
"Loaded %d records","%d Einträge geladen"
"No","Nein"
"No options found in config node %s","Keine Optionen in Konfigurationsknoten %s gefunden"
"Problem loading a record, aborting. Error: %s","Problem beim Laden eines Eintrags, breche ab. Fehler: %s"
"Problem loading the collection, aborting. Error: %s","Problem beim Laden einer Zusammenstellung, breche ab. Fehler: %s"
"Problem saving a record, aborting. Error: ","Problem beim Speichern eines Eintrags, breche ab. Fehler: "
"Problem saving the collection, aborting. Error: %s","Problem beim Speichern der Zusammenstellung, breche ab. Fehler: %s"
"Saved ","Gespeichert "
"Scope must not be changed, because the attribute is used in configurable products.","Geltungsbereich kann nicht geändert werden, da das Attribut in konfigurierbaren Produkten benutzt wird."
"The attribute code \'%s\' is reserved by system. Please, try another attribute code.","Der Attributcode \'%s\' ist für das system reserviert. Bitte benutzten Sie einen anderen Attributcode."
"Unknown parameter","Unbekannter Parameter"
"Valid store_id is expected!","Gültige store_id wird erwartet!"
"Value of attribute ""%s"" must be unique","Wert des Attributs ""%s"" muß eindeutig sein"
"Wrong attribute ID","Falsche Attribut ID"
"Wrong attribute group ID","Falsche Attributgruppen ID"
"Wrong attribute set ID","Falsche Attributset ID"
"Wrong entity ID","Falsche Datensatz ID"
"Yes","Ja"
