"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d x Katalog Preis Regel basiert auf ""%s"" Attribut wurde deaktiviert."
"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel anlegen"
"An error occurred while deleting the rule. Please review the log and try again.","Beim Löschen der Regel ist ein Fehler aufgetreten. Bitte sehen Sie in die Log-Aufzeichnung und probieren es erneut."
"An error occurred while saving the rule data. Please review the log and try again.","Beim Speichern der Regeldaten ist ein Fehler aufgetreten. Bitte sehen Sie in die Log-Aufzeichnung und probieren es erneut."
"Apply","Anwenden"
"Apply Rules","Regeln anwenden"
"Attribute Set","Attribut-Set"
"By Fixed Amount","Um einen festgelegten Betrag"
"By Percentage of the Original Price","Um einen Prozentsatz des Originalpreises"
"Catalog","Katalog"
"Catalog Price Rule","Katalog Preisregel"
"Catalog Price Rules","Katalog Preisregeln"
"Category","Kategorie"
"Conditions","Bedingungen"
"Conditions (leave blank for all products)","Bedingungen (leer lassen für alle Artikel)"
"Conditions Combination","Bedingungskombination"
"Customer Groups","Kundengruppen"
"Customer Registered: %s","Kunde registriert: %s"
"Customer is a New Buyer: %s","Kunde ist Neukunde: %s´"
"Date Expire","Ablaufdatum"
"Date From","Datum vom"
"Date Start","Startdatum"
"Date To","Datum bis"
"Delete Rule","Regel löschen"
"Description","Beschreibung"
"Description: %s","Beschreibung: %s"
"Discount Amount","Rabattbetrag"
"Edit Rule","Regel bearbeiten"
"Edit Rule '%s'","Regel '%s' bearbeiten"
"Enable Discount to Subproducts","Rabatt auf Unterartikel anwenden"
"Expire at: %s","Endet am: %s"
"From Date","Datum von"
"General Information","Allgemeine Information"
"ID","ID"
"Inactive","Inaktiv"
"NOT LOGGED IN","Nicht eingeloggt"
"Name: %s","Name: %s"
"New Rule","Neue Regel"
"No","Nein"
"Options","Optionen"
"Priority","Priorität"
"Product Attribute","Artikelattribut"
"Promotions","Promo"
"Rule Information","Regelinformation"
"Rule Name","Regelname"
"Save Rule","Regel speichern"
"Save and Apply","Speichern und anwenden"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Start at: %s","Starte bei: %s"
"Status","Status"
"Stop Further Rules Processing","Weitere Regeln nicht mehr anwenden"
"The rule has been deleted.","Die Regl wurde gelöscht."
"The rule has been saved.","Die Regel wurde gelöscht."
"The rules have been applied.","Die Regeln wurden angewendet."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Es existieren Regeln, die sich verändert haben, aber noch nicht angewendet wurden. Bitte klicken Sie ""Regeln anwenden"" um Veränderungen im Shop zu sehen."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"To Date","Datum bis"
"To Fixed Amount","Auf einen festen Wert"
"To Percentage of the Original Price","Auf einen Prozentsatz des Originalpreises"
"Unable to apply rules.","Regeln konnten nicht angewendet werden."
"Unable to find a rule to delete.","Es wurde keine Regel zum Löschen gefunden."
"Update Prices Using the Following Information","Aktualsierte Preise nutzen folgende Information"
"Update product's %s %s: %s","Aktualisiere %s %s des Artikels: %s"
"Websites","Websites"
"Wrong rule specified.","Falsche Regel angegeben."
"Yes","Ja"
