"Actions","Aktionen"
"Add Answer","Neue Antwort"
"Add New Answer","Neue Antwort"
"Add New Poll","Neue Umfrage"
"Answer Title","Antworttitel"
"Answer Title:","Antworttitel:"
"Answer with the same title in this poll","Gleichlautende Antwort in dieser Umfrage"
"Are you sure you want to delete it?","Wollen Sie das wirklich löschen?"
"Assigned Answers","Zugewiesene Antworten"
"Closed","Geschlossen"
"Community Poll","Kundenumfrage"
"Date Closed","Geschlossen am"
"Date Posted","Veröffentlicht am"
"Delete","Löschen"
"Delete Answer","Antwort löschen"
"Delete Poll","Umfrage löschen"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Mehrfachabstimmung bei gleicher IP unterbinden"
"Edit Answer '%s'","Bearbeite Antwort '%s'"
"Edit Poll '%s'","Bearbeite Umfrage '%s'"
"Edit Poll Answer","Bearbeite Umfrageantwort"
"ID","ID"
"Invalid Answer.","Ungültige Antwort"
"New Poll","Neue Umfrage"
"Number of Responses","Stimmenanzahl"
"Open","Offen"
"Poll Answers","Umfrageantworten"
"Poll Information","Umfrageinformation"
"Poll Manager","Umfrageverwaltung"
"Poll Question","Umfragethema"
"Poll information","Umfrageinformation"
"Poll with the same question","Umfrage mit der gleichen Frage"
"Polls","Umfragen"
"Save Answer","Antwort speichern"
"Save Poll","Umfrage speichern"
"Status","Status"
"The answer has been saved.","Die Antwort wurde gespeichert."
"The poll does not exist.","Die Umfrage existiert nicht."
"Unable to find an answer to delete.","Es konnte keine Antwort zum Löschen gefunden werden."
"Visible In","Sichtbar in"
"Vote","Abstimmen"
"Votes Count","Stimmenanzahl"
"Votes Count:","Stimmenanzahl:"
