"Add New Row","Neue Zeile hinzufügen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Empfohlen werden alphanumerische, per Bindestrich & Unterstrich (_) getrennte Zeichen als Dateinamen. Ungeeignete Zeichen werden mit \'_\' ersetzt."
"An error occurred while getting requested content. Please contact the store owner.","Fehler beim anfordern des Inhalts aufgetreten. Bitte den Shopbetreiber kontaktieren."
"An error occurred while getting the requested content.","Fehler beim anfordern des Inhalts aufgetreten."
"An error occurred while getting the requested content. Please contact the store owner.","Fehler beim anfordern des Inhalts aufgetreten. Bitte den Shopbetreiber kontaktieren."
"An error occurred while saving the file(s).","Beim Speichern der Datei(en) trat ein Fehler auf."
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Canceled","storniert"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Katalog Artikelansicht (Downloadartikel)"
"Customer My Account Downloadable Items","Kunde Mein Benutzerkonto Downloadartikel"
"Date","Datum"
"Default Link Title","Standard Linktitel"
"Default Maximum Number of Downloads","Standard Maximalanzahl an Downloads"
"Default Sample Title","Standard Beispieltitel"
"Disable Guest Checkout if Cart Contains Downloadable Items","Bezahlvorgang als Gast deaktivieren, wenn Downloadartikel im<br />Warenkorb liegen"
"Downloadable Information","Downloadinformation"
"Downloadable Product","Downloadartikel"
"Downloadable Product Options","Downloadartikel Optionen"
"Downloadable product Section","Downloadartikel Bereich"
"Edit","Bearbeiten"
"Edit item parameters","Artikelparameter bearbeiten"
"Excl. Tax","zzgl. Steuern"
"File","Datei"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Go to <a href="%s">My Downloadable Products</a>","Gehen Sie zu <a href="%s">Meine Downloadartikel</a>"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"In stock","Auf Lager"
"Incl. Tax","inkl. Steuern"
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid download link type.","Invalid download link type."
"Invoiced","In Rechnung gestellt."
"Links can be purchased separately","Links können einzeln erworben werden."
"Max. Downloads","Max. Downloads"
"Message:","Nachricht:"
"Move to Wishlist","Auf den Wunschzettel"
"My Downloadable Products","Meine Download Artikel"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellung Nr. "
"Order Item Status to Enable Downloads","Bestellstatus, um Downloads zu aktivieren"
"Ordered","Bestellt"
"Out of stock","Nicht auf Lager"
"Pending","In Arbeit"
"Please log in to download your product.","Bitte melden Sie sich an, um Ihre(n) Downloadartikel herunterzuladen."
"Please set resource file and link type.","Please set resource file and link type."
"Please specify product link(s).","Bitte Artikellink(s) festlegen."
"Price","Preis"
"Qty","Menge"
"Refunded","Erstattet"
"Remaining Downloads","Verbleibende Downloads"
"Remove Item","Artikel entfernen"
"Requested link does not exist.","Requested link does not exist."
"Sample","Beispiel"
"Shareable","Gemeinsam benutzbar"
"Shipped","Versandt"
"Sort Order","Reihenfolge"
"Start Download","Download starten"
"Status","Status"
"The file does not exist.","Die Datei existiert nicht."
"The link has expired.","Der Link ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"Title","Titel"
"To:","An:"
"U","U"
"Unlimited","Unbegrenzt"
"Use Content-Disposition","Inhaltseinstellung verwenden"
"View Order","Bestellung ansehen"
"You have not purchased any downloadable products yet.","Sie haben noch keine Downloadartikel erworben."
"attachment","Anhang"
"download","Download"
"inline","Inline"
"sample","Beispiel"
"Cannot connect to remote host, error: %s","Verbindung kann nicht hergestellt werden, Fehler: %s"
"Guest checkout will only work with shareable","Bezahlvorgang als Gast funktioniert nur mit gemeinsam benutzbaren Dateien"
"Invalid download URL host","Ungültiger Download-URL-Server"
"Invalid download URL scheme","Ungültiges Download-URL-Schema"
"Invalid download link type","Ungültiger Downloadlink-Typ"
"Please set resource file and link type","Bitte Ressourcen-Datei und Linktyp festlegen"
"Requested link doesn't exist.","Der gewünschte Link existiert nicht."
