"ALL","ALLE"
"Apply","Anwenden"
"Open Chooser","Öffne Auswahlmöglichkeit"
"Description: %s","Beschreibung: %s"
"to","bis"
"Please choose an action to add...","Bitte eine Aktion auswählen, die hinzugefügt werden soll..."
"Please choose a condition to add...","Bitte eine Bedingung auswählen, die hinzugefügt werden soll..."
"Expire at: %s","Endet am: %s"
"Remove","Entfernen"
"FALSE","FALSCH"
"Perform following actions","Folgende Aktionen ausführen"
"Add","Hinzufügen"
"ANY","IRGENDEINE"
"is","is"
"is not","is not"
"Name: %s","Name: %s"
"Start at: %s","Starte bei: %s"
"by","um"
"TRUE","WAHR"
"If %s of these conditions are %s:","Wenn %s dieser Bedingungen %s sind:"
