"""%s"" coupon code is not valid.","""%s"" Rabattkode ist ungültig."
"%s","%s"
"%s / %s rate:","%s / %s Kurs:"
"%s for %s","%s für %s"
"%s order(s) cannot be canceled","%s Bestellung(en) konnte(n) nicht storniert werden"
"%s order(s) have been canceled.","%s Bestellung(en) wurde(n) storniert."
"%s order(s) have been put on hold.","%s Bestellung(en) wurde(n) zurückgestellt."
"%s order(s) have been released from holding status.","%s Bestellung(en) wurde(n) wieder aufgenommen."
"%s order(s) were not put on hold.","%s Bestellung(en), die nicht zurückgestellt sind."
"%s order(s) were not released from holding status.","%s Bestellung(en) wurde(n) nicht wieder aufgenommen."
"* - Enter custom price excluding tax","* - Geben Sie den benutzerdefinierten Preis ohne Steuer ein"
"* - Enter custom price including tax","* - Geben Sie den benutzerdefinierten Preis inklusive Steuer ein"
"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte auswählen --"
"-- Please Select Billing Agreement--","-- Bitte wählen Sie die Zahlungsvereinbarung --"
"About This Order:","Über diese Bestellung:"
"About This Profile:","Über dieses Profil:"
"About Your Invoice","Informationen zu Ihrer Rechnung"
"About Your Order","Über Ihre Bestellung"
"About Your Refund","Informationen zu Ihrer Rückerstattung"
"About Your Shipment","Informationen zu Ihrer Sendung"
"Accept Payment","Zahlung akzeptieren"
"Accept or Deny Payment","Zahlung akzeptieren oder ablehnen"
"Account Information","Kontoinformationen"
"Action","Aktion"
"Actions","Aktionen"
"Activate","Aktivieren"
"Active","Aktiv"
"Add","Hinzufügen"
"Add New Address","Neue Adresse"
"Add Order Comments","Bestellungskommentare hinzufügen"
"Add Package","Verpackung hinzufügen"
"Add Products","Artikel hinzufügen"
"Add Selected Product(s) to Option","Ausgewählte Artikel zu Option hinzufügen"
"Add Selected Product(s) to Order","Ausgewählte Artikel zur Bestellung hinzufügen"
"Add Selected Product(s) to Package","Ausgewählte(s) Artikel zur Verpackung hinzufügen"
"Add To Order","Zur Bestellung hinzufügen"
"Add Tracking Number","Tracking-Nummer hinzufügen"
"Add comment to order","Kommentar zur Bestellung hinzufügen"
"Add new comment to credit memo","Neuer Kommentar zur Rechnungskorrektur"
"Add new comment to shipment","Neuer Kommentar zum Versand"
"Add new tracking number","Neue Tracking-Nummer"
"Add to Cart","In den Warenkorb"
"Additional Product Info","Zusätzliche Angaben zum Artikel"
"Address","Adresse"
"Address model is not defined.","Adressenmodell ist nicht definiert."
"Adjustment Fee","Anpassungsgebühr"
"Adjustment Refund","Anpassungsrückerstattung"
"Agreement Information","Vereinbarungsinformationen"
"Allow Reorder","Nachbestellung erlauben"
"Amount","Summe"
"Amount: %s.","Summe: %s."
"An error occurred while assigning order status. Status has not been assigned.","Bei der Zuweisung des Auftragsstatus ist ein Fehler aufgetreten. Status wurde nicht zugewiesen."
"An error occurred while creating shipping label.","Ein Fehler ist aufgetreten beim Erstellen des Versandlabels."
"An error occurred while saving order status. The status has not been added.","Beim Speichern des Auftragsstatus ist ein Fehler aufgetreten. Der Status wurde nicht hinzugefügt."
"An error occurred while unassigning order status.","Beim Löschen der Zuweisung für einen Auftragsstatus ist ein Fehler aufgetreten."
"An error occurred while updating the order address. The address has not been changed.","Beim Aktualisieren der Bestelladresse ist ein Fehler aufgetreten. Die Adresse wurde nicht geändert."
"An item option with code %s already exists.","Eine Artikeloption mit Kode %s existiert bereits."
"Anchor Custom Title","Kundenspezifischen Titel festlegen"
"Append Comments","Kommentare anhängen"
"Apply","Anwenden"
"Apply Coupon Code","Coupon-Kode anwenden"
"Approved the payment online.","Zahlung online akzeptiert."
"Are you sure you want to accept this payment?","Sind Sie sicher, dass Sie diese Zahlung akzeptieren wollen?"
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren wollen?"
"Are you sure you want to delete all items from shopping cart?","Sind Sie sicher, dass Sie alle Artikel aus dem Warenkorb löschen möchten?"
"Are you sure you want to deny this payment?","Sind Sie sicher, dass Sie diese Zahlung ablehnen wollen?"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun wollen?"
"Are you sure you want to send Creditmemo email to customer?","Sind Sie sicher, dass Sie ein Gutschrift-eMail an den Kunden schicken wollen?"
