"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"An error occurred while opening file: ""%s"".","Fehler aufgetreten beim Öffnen der Datei: ""%s""."
"Could not load file: ""%s"".","Datei konnte nicht geladen werden: ""%s""."
"Could not save file: %s.","Datei konnte nicht gespeichert werden: ""%s""."
"Declared adapter %s was not found.","### Declared adapter %s was not found."
"Destination folder ""%s"" is not a directory.","Zielordner ""%s"" ist kein Verzeichnis."
"Destination folder ""%s"" is not writable.","In Zielordner ""%s"" kann nicht geschrieben werden."
"Done","Fertig"
"Dry run set, stopping execution.","### Dry run set, stopping execution."
"ETA: %s","Geschätzte Zeit: %s"
"Error in field mapping: field list for mapping is not defined.","### Error in field mapping: field list for mapping is not defined."
"File ""%s"" does not exist.","Datei ""%s"" existiert nicht"
"Found %d rows.","### Found %d rows."
"Less than a minute","Weniger als eine Minute"
"Loaded successfully: ""%s"".",Erfolgreich geladen: ""%s""."
"Memory Used: %s","Speicherverbrauch: %s"
"Method ""%s"" not defined in adapter %s.","Methode ""%s"" Ist für Adapter %s nicht definiert."
"Method ""%s"" was not defined in adapter %s.","Methode ""%s"" wurde im Adapter nicht definiert %s."
"Please declare ""adapter"" and ""method"" nodes first.","Bitte bestimmen Sie zuerst ""Adapter-"" und ""Methode""."
"Processed records: %s","Verarbeitete Einträge: %s"
"Saved successfully: ""%s"" [%d byte(s)].","Erfolgreich gespeichert: ""%s"" [%d Byte(s)]."
"Sheet 1","Arbeitsblatt 1"
"Skip undefined row.","### Skip undefined row."
"Starting %s :: %s","Starte %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Das Bestimmungsverzeichnis ""%s"" existiert nicht oder es besteht kein Zugriff um es zu erstellen."
"Total records: %s","Gesamtanzahl Einträge: %s"
"hour","Stunde"
"hours","Stunden"
"minute","Minute"
"minutes","Minuten"
